Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
WOA,F3,1.19,184576.52,184576.52,183703.4,181063.2,181063.2,176021.5,175316.1,175202.39,175084.05,172543.9,172205.73,171237.77,171134.94,170371.16,170230.35,170210.5,170097.27,169581.06,168937.94,167586.22,167291.41,165731.81,165086.0,164207.85,164022.91,163958.44,162941.09,161887.19,159856.27,157759.93,155968.32,155565.85,154964.79,154352.11,154027.2,153691.33,153292.8,152751.77,150637.56,150112.13,149710.59,148271.41,147851.51,147309.81,146908.79,144501.54,144062.58,143291.71,142333.67,141090.6
WOA,F4,0.93,88.41,88.41,87.55,77.29,73.34,71.67,71.29,68.05,67.42,66.92,66.62,66.03,66.03,66.03,66.03,65.99,65.99,65.98,65.96,65.96,65.96,65.96,65.96,65.96,65.94,65.93,65.9,65.86,65.85,65.82,65.81,65.8,65.8,65.8,65.8,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.79,65.72,65.71,65.71
