Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
WOA,F1,0.9605941772460938,65727.50618590467,43675.515809962795,40359.06883511916,33195.505851222166,19915.83444197438,14380.773136556025,12069.476602620283,8997.285940367445,6371.067946785331,5047.737789715804,4796.702115926511,2494.432487920714,2144.9025579541917,1609.6568831651223,1140.2621884095215,938.2616739869668,905.1265468536867,566.4607977890581,433.44182984236386,332.1110995739059,227.80383448257052,138.0768397964541,99.14054989203196,46.08041910310355,27.250810921119985,23.75348722171843,15.439950895080498,14.130412963220007,10.025691049853448,3.3356871740345113,2.465794290949977,2.072557529377553,0.9675482490758607,0.7775299833633782,0.3583854882148203,0.2043502550472077,0.06945280385175794,0.050279506961557335,0.036166914519012994,0.016781924905303197,0.011625045067667943,0.008777513967242042,0.006773026693057612,0.005955905865566617,0.00531381842048913,0.005075886302016194,0.004759930844147697,0.004378679400326186,0.003913831899550371,0.0033784677512173397
WOA,F1,0.9526181221008301,69850.93531242442,67925.56360505299,32176.798712616033,32122.978610671824,22574.289486717124,18869.167062172557,11423.214866703744,8759.133815915719,7250.597028484178,5808.516177171924,4054.415095908361,3330.2639160105286,2081.3606998462583,1517.5035120198274,1062.8876365822803,947.1412156499609,863.2516240883991,289.7932809114876,121.12116085039254,30.95664692879295,30.95664692879295,29.111364700870016,24.078323713489514,17.251206057499335,8.094467087058817,2.9093863388396306,1.7566997607017565,0.8795615073616306,0.7278858568275204,0.4675889800762455,0.3398055557595194,0.2921212978915547,0.20502509892940537,0.1251066383479737,0.06329855189115434,0.03907102256123865,0.030324320558557157,0.016868905142492445,0.00926315241552765,0.006687662709201776,0.0041288904906084615,0.0033698131353177337,0.0028469840300940344,0.001895654931003652,0.001250984203081947,0.000482320298065406,0.0004429954702938519,0.00039041990378972457,0.0003417520683138669,0.0002853101286982276
WOA,F1,0.9128475189208984,67966.8798476921,65935.8433673036,58922.12845021727,34197.71266015131,28956.937723797775,13480.643762433376,7994.0672283825015,3047.1411611879626,2468.270212095141,1397.2437735829667,1167.230497932852,1058.0220370661623,989.3001389737065,917.9237355380657,872.2824804373986,758.5681559567756,547.9874535618428,295.9627470150276,215.20863453065908,152.7321996688001,41.07005296864728,35.12946919073841,10.301854679879073,5.239608421003714,3.648530123582704,1.6737421172255686,1.6737421172255686,1.5338296633454973,1.3218948929609238,1.1107109953368473,0.6425276207194193,0.3994390513097445,0.33238715236642363,0.2650333734183856,0.2003681534632703,0.07833969751326858,0.06289188142613214,0.04623628153380329,0.009859524059853162,0.005742304378499279,0.0029220844593518514,0.0014067970662411677,0.0010584238741502628,0.0006382390885784957,0.00029984040004118063,0.00022914693918845027,0.00018599824447848551,0.000136424420523785,0.00011499751228066159,0.00010836264549539678
