Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
WOA,F1,1.36,64700.37,57471.32,45813.41,32930.01,26532.08,20920.52,16107.7,11895.5,9058.01,6331.47,4839.56,3490.9,2652.14,1953.04,1533.52,1034.57,712.12,502.69,375.13,258.44,198.58,140.06,83.68,52.82,33.36,20.59,13.17,8.23,4.84,2.58,1.5,1.04,0.65,0.41,0.24,0.17,0.11,0.07,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
WOA,F2,1.28,13315998671861.79,202842626393.26,6403629003.46,994008795.41,214866604.23,71185.74,4432.83,57.91,42.89,35.58,25.9,21.61,17.92,14.1,11.51,9.13,6.85,5.29,4.32,3.52,2.84,2.19,1.76,1.44,1.08,0.83,0.59,0.39,0.31,0.24,0.18,0.13,0.09,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOA,F3,1.63,140565.94,133942.47,125260.18,123617.74,120647.59,119981.61,119509.97,119317.83,119235.31,118889.41,118618.96,118343.31,118247.84,117948.37,117733.23,117527.89,117274.61,116972.69,116675.82,116369.92,115893.42,115735.04,115076.05,114584.42,114026.54,113796.22,113596.88,113349.06,113157.66,112924.88,112557.92,112173.75,111399.01,110539.17,109942.07,109534.23,109010.98,108607.59,108120.64,107675.74,107270.0,107028.71,106394.0,105770.02,105375.38,104950.27,104501.82,104299.66,103901.76,103658.32
WOA,F4,1.34,87.28,85.95,84.7,82.07,80.29,79.23,77.55,76.61,75.72,75.53,75.1,74.7,74.37,74.15,73.84,73.58,73.41,73.32,72.78,72.67,72.61,72.4,72.32,72.24,72.16,72.15,72.11,72.09,71.83,71.78,71.76,71.48,71.44,71.4,71.39,71.34,71.33,71.33,71.32,71.32,71.32,71.31,71.31,71.31,71.31,71.31,71.31,71.23,71.22,71.22
WOA,F5,1.42,248035890.68,220436921.6,173298719.75,115458615.58,83985374.34,52762492.37,32358264.18,22004287.08,14313538.16,7351971.79,4610115.37,2745806.11,1761086.65,1280579.97,991284.32,649200.16,410507.04,227423.2,107954.98,66651.81,24060.99,15284.41,10962.83,7317.4,4497.76,2324.59,1186.15,459.45,312.69,146.7,99.29,65.69,55.22,41.08,36.26,32.86,31.55,30.06,29.62,29.31,29.14,29.05,28.99,28.94,28.91,28.9,28.89,28.88,28.87,28.87
WOA,F6,1.31,69862.3,63731.55,49655.3,34780.86,26261.87,19574.31,14970.87,11666.58,8797.04,6576.31,4830.48,3771.68,2177.72,1626.48,1251.25,868.02,674.03,507.34,331.35,213.48,153.39,113.18,68.57,48.05,34.26,24.23,15.17,10.76,7.63,5.28,4.12,3.54,3.19,2.96,2.82,2.68,2.6,2.51,2.46,2.41,2.4,2.39,2.38,2.37,2.37,2.37,2.36,2.36,2.36,2.36
WOA,F7,1.38,125.2,110.17,82.71,52.8,33.01,25.34,19.53,13.92,8.25,5.29,3.95,2.93,1.92,1.32,1.01,0.69,0.56,0.49,0.43,0.34,0.3,0.25,0.23,0.18,0.16,0.16,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
WOA,F8,1.33,-2092.01,-3474.94,-5014.04,-5797.44,-6372.6,-7062.71,-7388.85,-7718.0,-8176.07,-8233.67,-8466.02,-8506.33,-8562.41,-8596.61,-8631.97,-8716.41,-8831.85,-8867.74,-8873.24,-8902.06,-8929.15,-8936.54,-8944.73,-8965.05,-8990.67,-9009.72,-9030.63,-9040.76,-9048.57,-9057.55,-9070.37,-9087.56,-9101.69,-9116.83,-9131.18,-9133.54,-9136.65,-9139.61,-9142.08,-9144.6,-9146.44,-9148.54,-9149.85,-9152.93,-9154.13,-9154.28,-9154.33,-9154.56,-9154.85,-9155.17
WOA,F9,1.31,437.28,420.45,393.74,365.77,340.63,323.3,313.19,300.01,278.01,271.59,254.82,245.55,222.25,210.46,199.42,189.79,177.13,165.97,156.26,143.76,135.93,131.25,120.77,111.04,101.44,89.35,78.29,69.04,61.96,54.28,45.7,41.32,38.79,33.11,29.81,28.82,27.01,26.26,23.2,19.44,18.76,17.9,17.15,16.68,15.0,14.29,14.23,14.22,14.21,14.2
WOA,F10,1.43,20.68,20.39,19.76,19.19,18.39,17.57,16.82,15.79,14.9,13.9,12.9,11.74,10.71,9.61,8.83,8.11,7.52,6.81,6.4,5.61,4.94,4.15,3.57,3.02,2.48,2.03,1.69,1.35,1.05,0.86,0.6,0.47,0.31,0.21,0.17,0.12,0.09,0.07,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
