Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
WOA,F3,1.2854149341583252,107402.5460579158,107402.5460579158,103503.8316669123,103503.8316669123,103503.8316669123,103154.56931907046,103154.56931907046,103154.56931907046,103154.56931907046,102388.92336449234,102382.44412637754,102382.44412637754,102382.44412637754,102382.44412637754,102382.44412637754,102225.45030535304,102211.83601456966,102181.3124714483,102134.49630724039,102132.97274787442,101749.34611007747,101749.34611007747,101749.34611007747,101684.76751990817,101649.3668980777,101578.25177573982,101232.20370079757,101131.07053394383,101131.07053394383,101047.99103071439,100799.86393769662,100150.1350884579,100016.57738793059,99777.05384724736,99777.05384724736,98647.79928251189,98381.35560416043,97480.13491716576,97461.31595637798,97438.90807083546,97438.90807083546,97438.90807083546,97409.12805481932,96919.59713231772,95344.4616049793,95209.49378977134,95176.07915117111,94567.57233477368,94163.15189144916,94047.6367278237
WOA,F3,1.2459611892700195,121992.11875324465,121992.11875324465,116923.7000032728,104232.23913369978,104232.23913369978,104232.23913369978,104232.23913369978,103869.54900305893,103869.54900305893,103869.54900305893,103869.54900305893,103869.54900305893,103869.54900305893,103869.54900305893,103850.95260053592,103794.66503750702,103745.50577101686,103745.50577101686,103745.05822225503,103745.05822225503,103577.26122277847,103562.73775406173,103562.73775406173,103500.81029098431,103459.63760643166,103287.9833982852,102756.92428390967,101180.15875332148,101180.15875332148,100016.48470078394,99968.54345664964,99968.54345664964,99950.3372187647,99868.76704231341,99850.42348992349,99850.42348992349,99793.71213408129,99650.3253434815,97715.2684718973,96750.53212820852,95756.69312484888,95522.77643839373,95226.16884041463,94892.94784587553,94332.68877271566,94332.68877271566,94201.36876255143,94087.6097419546,93831.28389458013,93800.0499525633
WOA,F3,1.2237505912780762,166546.79496046834,166546.79496046834,166546.79496046834,166546.79496046834,163261.53643016386,163261.53643016386,163261.53643016386,162305.55178623722,161972.21831076636,161972.21831076636,161445.20728841252,160480.41520376733,160309.59397774283,160138.0697331757,159125.16843885765,159125.16843885765,159125.16843885765,158769.99489124975,158769.99489124975,158621.46933124395,158607.474600297,158607.474600297,158510.08183615698,158116.3938284785,157717.8272090732,157715.6610903108,156241.70747824188,155140.33567249778,154358.76854088035,153836.4267093071,153434.86193234593,153415.25557791285,153413.9154118733,153411.70558157805,153290.17874358513,152965.81192645742,152643.1287684755,151628.1639595768,150511.6106828547,150288.16097567027,149615.02843270815,145116.66114602762,144263.05236079404,143576.23890471255,143576.23890471255,142473.193227501,139683.02547030043,137974.2337340826,136958.61756107598,135838.36329147
