Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
WOA,F1,2.455439805984497,74259.77101646617,71786.46382048908,57429.227238748055,22624.028204167585,20762.504968887497,17422.60979587826,16433.823901285017,8545.285299876065,5756.359164711555,2263.3510723840027,1932.7045311028953,1594.983855722719,1404.5481182025514,839.2692287241592,503.88354828804734,403.58313743186443,368.74496993267235,318.70497001698345,265.0522279943566,253.3761229429004,196.96926845474002,65.38988242597718,63.178989614017226,49.44007180922096,45.760458683454125,39.07696235673942,32.83890916844117,19.131289601103752,15.575815628894148,12.773512994901596,10.791740329785846,9.364296822749905,8.739275801811157,7.545821222087991,6.104980478802825,3.9159858520754964,2.7585735125234847,1.789505939090055,0.6639729970671253,0.5245774140492117,0.5092749424248262,0.47570789844902156,0.4109754368703382,0.2460148950153634,0.15975548729459998,0.10820245579788196,0.05454618042262588,0.019930239466296847,0.01607675058747975,0.012958183180798936,0.0042798837821220225,0.001993361745434102,0.0007315062535972327,0.0005839666292771151,0.00037154568953215325,0.00030023841408705217,0.00015990353235621058,0.0001288688673947939,4.1058064408055385e-05,2.7827317148933387e-05,6.604071164930258e-06,6.147770700449934e-06,4.098882607041592e-06,5.387014332111986e-07,5.245804497414184e-07,5.163822758160953e-07,3.984942533245567e-07,1.9365468230871694e-07,1.3731333468245656e-07,9.500418995355241e-08,3.313259547149866e-08,2.750983760257763e-08,1.914800672601211e-08,5.1364201899255775e-09,4.7801896759716445e-09,4.0468761870935696e-09,2.3600710360406683e-09,1.7655013936903986e-09,1.430415723118336e-09,9.761629492659793e-10,7.146278561177834e-10,5.048371521848525e-10,3.407695568872345e-10,2.403537573603312e-10,2.2406020601582162e-10,1.821745849908999e-10,1.5342913539578605e-10,1.2504028525439213e-10,1.0267768854999227e-10,7.63804944563719e-11,5.638143531621645e-11,4.6391161379973065e-11,4.096230847886466e-11,3.468273788833681e-11,3.147329207747793e-11,2.8566722626099483e-11,2.5525332963342647e-11,2.053047924553811e-11,1.695592749760511e-11,1.6071414907240126e-11
WOA,F1,2.279350996017456,61835.30017266038,61835.30017266038,58770.1341690042,45186.46741894396,22620.68771666932,22620.68771666932,20664.626781659983,4847.033434056943,4846.504491067652,4491.672450286151,3659.4754060369246,2517.1279540011415,2161.0672531024834,2156.3618808972647,1887.8590993673233,1239.3345576819968,1203.9409250222095,1131.115746448911,1070.9682947640008,616.0829332012473,612.229193910944,432.82123004155835,279.66557864146716,167.80738315798718,144.26122160879495,113.46850492144699,52.82784724905699,29.716978616690977,24.728737918199695,20.463576251648117,17.131524478082827,10.740518423154343,8.371967403921726,4.67140503991094,4.097969033347935,3.2671834540750138,2.8053575888255344,0.8100744698737917,0.7207480478818681,0.44253946043315867,0.29466366652940734,0.2757322956329586,0.20576390175009948,0.17087129557716507,0.03472651599957077,0.02188145161873209,0.017388644318972662,0.006518007478114958,0.004717240770292961,0.0036640300909684905,0.002634374860799132,0.002340761877262159,0.0017358734789086887,0.0010155995670836052,0.0007231822091450879,0.00027938646616567,0.00024144222399534915,5.1079432997877736e-05,3.7664951046235855e-05,2.102077994335295e-05,6.883052922529379e-06,5.6176778782597655e-06,1.6458195305259428e-06,1.1898557872877105e-06,1.00219031807246e-06,7.314600523363616e-07,4.888839166134656e-07,2.9524993705847607e-07,2.3366468405541336e-07,1.193120352101763e-07,7.45658580376348e-08,2.6951646816068806e-08,1.5386767703154527e-08,1.0107081180250252e-08,7.1932784541721705e-09,5.75983876826665e-09,4.61809954212153e-09,3.206036060889543e-09,2.7226593990291617e-09,2.1554538125258488e-09,1.7705760236036493e-09,1.4575015820341544e-09,9.383525108948493e-10,6.898229968725203e-10,3.577086310615544e-10,3.1060438940781805e-10,2.5159786311279704e-10,1.348885166504075e-10,1.1602556062673218e-10,9.374051397428371e-11,7.396628950862571e-11,6.077293963757296e-11,4.1609343968593195e-11,1.5866666852068235e-11,1.1516308562895684e-11,9.567173903788792e-12,8.236805372768367e-12,6.453024074399836e-12,5.998462041749514e-12,5.775054224051827e-12
WOA,F1,2.300384044647217,51139.43863675077,50605.05045219936,48851.96874014737,42775.77067072319,29053.03920180314,15463.632563827163,14009.710062031227,12489.533926745313,12484.02907806384,9031.838556786708,7495.113921843006,4935.005766631179,4882.808881042486,4536.442520648082,3175.5073101685575,2854.4689921623963,2246.800013115827,1495.3967716577295,1097.531220779431,773.6714200959572,353.40573629248667,323.08954730279487,199.02558287440542,156.34620748335342,135.42930664442633,122.64764737773243,99.45061016448732,94.85389471365012,87.25269614379522,46.2001615148532,45.07242789359974,36.017305080096506,25.378664719725077,2.185899651867148,1.6311149177988076,1.13036838639211,0.3771133583560915,0.16716214712786956,0.08185946115953728,0.043221425711296155,0.025461790626474325,0.016612573114687793,0.00902089857489779,0.005425767403777405,0.005265785701764217,0.0020124817886848986,0.0016314499809328366,0.0011208957117299603,0.0007559690751218194,0.0005936636950088193,0.0003738494964268311,0.00026219220198556034,0.00016874360991125378,0.00011577509749594499,5.2158681395113135e-05,2.558124349600597e-05,2.1729208797792327e-05,1.4106090334924845e-05,5.644165627707831e-06,2.264668502649869e-06,1.5588324908859682e-06,5.312690271538207e-07,3.4081851186695606e-07,2.6152674988850093e-07,2.0158423964839817e-07,1.604577508211808e-07,1.1777725356731658e-07,6.439217935374125e-08,3.4146823142421736e-08,2.229753286855727e-08,1.3466064342605314e-08,9.508587912608632e-09,6.702001646969961e-09,3.023221550524714e-09,1.797905071630441e-09,1.3386595732509376e-09,1.0638928957621755e-09,4.691628267999664e-10,2.5163687263802217e-10,2.2679381634155133e-10,1.5419402450949904e-10,1.1169257268147148e-10,6.753278363049625e-11,5.255105929836047e-11,2.6894186000962893e-11,4.980188227505422e-12,1.0261399412587599e-12,6.585565322339476e-13,5.742117327489049e-13,4.591687666145831e-13,3.6872525815438285e-13,3.208297905560891e-13,2.9377432935692315e-13,2.79120201343132e-13,2.417897027543874e-13,1.9616734170256465e-13,1.7287156974748778e-13,1.6057467597004922e-13,1.355236356262013e-13,1.2286220383675547e-13
