Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
WOA,F3,1.1934473514556885,193081.11406447852,159655.0352425751,124028.30291009201,124028.30291009201,115305.75748267709,115305.75748267709,115305.75748267709,115305.75748267709,115007.3923156812,114971.40453134425,114965.9365141914,114965.9365141914,114869.36917411731,114869.36917411731,114869.36917411731,114347.88690305274,114149.18043674658,113332.78898463085,113319.310899065,113289.09639776527,113289.09639776527,113289.09639776527,113267.211860259,113267.211860259,112446.28487705384,112311.41305114861,111964.94262846392,111866.26453948757,111866.26453948757,111793.22935365615,111564.95447377395,111561.00535386745,111391.65566319447,111265.92266605262,111173.99800583583,111034.87501476475,110944.15599311117,110683.90000019727,110242.7618929183,110049.74664975551,109749.60898779113,109749.60898779113,109749.60898779113,109749.60898779113,109624.60589614887,109590.71436554145,109521.98904638487,109500.27993138638,109351.70925182171,108444.14245984878
WOA,F3,1.2335169315338135,194363.87867172208,194363.87867172208,145116.0415214606,145056.25922395237,144731.53919616732,144221.37742894364,143801.11603617782,142895.87823553124,142895.87823553124,142895.87823553124,142895.87823553124,142895.87823553124,142665.3137004373,142665.3137004373,142665.3137004373,142665.3137004373,142665.3137004373,142528.27492755355,141948.49801550613,141948.49801550613,141948.49801550613,141700.81936097099,138764.80000519936,137443.2938645289,137443.2938645289,133858.39529779676,132925.7793869531,131226.63980873348,131104.00878363015,130752.17601011918,128208.12052386961,126767.78289813454,126767.78289813454,126496.19396251976,126004.87771630136,126001.03139644439,125998.37687181451,125604.05626313905,124879.17661296287,124879.17661296287,124298.22052738679,121924.96644016389,118832.18453127892,117583.62775065827,117454.01920919018,116812.38467505787,113428.43290217494,112993.3190088473,112315.63742661837,111993.55016155913
WOA,F3,1.2148475646972656,108275.90186479785,64112.88349759939,62766.96548369047,62766.96548369047,62766.96548369047,62766.96548369047,62766.96548369047,62759.75573466359,62759.75573466359,62759.75573466359,62759.75573466359,62759.75573466359,62759.75573466359,62753.24866849281,62753.24866849281,62753.24866849281,62753.24866849281,62753.24866849281,62753.24866849281,62587.8431236666,62587.8431236666,62585.09489116891,62585.09489116891,62581.15216834783,62581.15216834783,62467.3105225388,62361.815568212114,61846.323227560824,61846.323227560824,61605.02676517547,61605.02676517547,61521.8896511306,61372.85106773005,61342.69659601846,61342.69659601846,61108.548821301665,60880.20984815668,60857.97595956423,60847.816061692596,60847.816061692596,60808.374536254705,60769.153864993306,60693.01670197168,60693.01670197168,60637.361519666425,60535.108639898266,60439.26328665968,60416.52358607326,60388.64527735855,60342.95268758093
