Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F3,1.74,0.0,61548.16,30327.84,20881.8,16680.59,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13984.41,13686.73,13179.56,13179.56,10966.12,10291.96,9227.23,8409.7,7761.21,7297.89,6900.12,6613.19,6378.98,6288.24,6200.91,6134.84,6100.35,6076.62,6058.98,6048.41,6043.54,6039.5,6037.18,6036.32,6035.7,6035.33,6035.08,6034.91,6034.8,6034.76,6034.74,6034.72,6034.71
SSA,F4,1.39,0.0,49.86,42.27,35.43,33.95,32.96,32.33,30.89,30.24,29.43,28.95,28.61,28.61,28.61,28.46,28.21,28.21,28.21,28.21,28.21,28.21,26.68,26.38,24.73,23.15,21.92,21.75,20.96,20.51,20.27,19.91,19.67,19.5,19.42,19.35,19.31,19.28,19.26,19.25,19.24,19.24,19.24,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23
PSO,F3,1.31,140218.92,140218.92,126100.45,105316.95,88593.59,80497.26,70945.21,61028.04,53565.36,46188.4,32922.32,30540.71,27295.45,21301.02,19853.58,19085.87,15977.18,14128.21,12000.97,10085.67,9809.4,8485.7,7991.47,7366.31,7060.61,6503.1,6021.3,5316.14,5089.03,4857.52,4423.97,4308.43,3962.37,3784.69,3663.28,3646.95,3501.26,3369.27,3160.38,3074.28,2988.15,2925.01,2904.27,2782.36,2723.34,2705.99,2653.32,2548.87,2466.18,2362.14
PSO,F4,1.09,87.5,85.0,80.65,76.7,72.16,66.54,60.95,55.18,49.4,44.19,38.46,32.99,28.22,25.76,23.94,22.23,20.04,18.25,17.64,15.98,15.23,14.71,14.28,14.13,13.97,13.38,13.29,13.06,13.06,12.52,12.08,11.87,11.62,11.38,10.81,10.48,10.4,10.25,9.77,9.76,9.73,9.6,9.54,9.5,9.34,9.13,9.13,8.97,8.9,8.84
GWO,F3,1.38,160764.09,121324.28,103068.52,74394.92,61661.73,56575.78,50656.47,41167.96,41167.96,32526.14,29671.69,29475.08,29475.08,27307.35,21312.11,20897.87,16651.32,15117.43,14520.96,13790.25,10881.28,10879.34,10284.04,8426.84,7943.07,6190.62,5981.75,5823.41,5730.36,5269.9,4873.3,4718.08,4519.28,4118.85,3716.65,3600.01,3452.6,3231.56,3038.66,2945.75,2922.25,2775.51,2657.39,2533.3,2472.07,2392.01,2355.13,2286.24,2264.8,2238.91
GWO,F4,1.11,86.39,86.39,77.31,74.09,60.66,60.66,52.47,49.04,45.51,43.47,42.06,38.32,35.93,31.47,29.08,28.12,27.8,26.82,24.3,22.6,22.06,21.99,20.9,19.27,17.99,17.06,15.62,15.1,14.34,13.82,12.98,12.65,12.4,11.94,11.51,11.01,10.87,10.49,10.38,10.26,9.93,9.75,9.54,9.48,9.32,9.01,8.88,8.73,8.68,8.57
